document_id,clean_text,sentiment
11,someone else acted joker would give movie star majority people ended loving villain hero rarely happends moviesrest peace heath ledger,neutral
12,think big questionor question everyone actually care christopher nolans follow critically acclaimed film batman begin dark knight good everyone saying quite simply yes yes doubt one anticipated movie st century duly deserves every amount praise lavished onto ordinary superhero movie character dialogue driven piece action orientated might expecti go plot detail lot however basic one sentence summary batman face cunning psychotic enemy someone real motivesthe joker way start actor boy lot talk christian bale done tremendous job beloved caped crusader already blowing everyone else water batman begin bruce wayne flawed personality hang balance righteousness criminal perception justice cause emotional personal shift whether wealthy businessman fight crime gadgetriddled suit normal man sick scum gotham city decides give lawbreaker dose medicine bale tremendous acting bruce wayne justified emphasise bale flawed hero actor ever excellent batman theme right wrong played well character hereof course sure want know heath ledger good safely say definitely ledger joker best greatest superhero film villain ever performance truly terrifying chilling brilliant synonym previous adjective every scene stolen joker truly batman worst villain cunning psychotic nothing quite match laugh sinister makeup ledger nabs oscar best actor honestly surprised true tragedy see talented actor fall young ageall actor cannot forgotten though aaron eckhart definitely proved previously thankyou smoking someone watch harvey dent later two face powerful want justice bring every single criminal eckhart definitive two face maggie gyllenhaal wayne dent love interest rachel dawes much better katie holmes gyllenhaals performance substance really cared future terrific every scene michael caine wrong alfred pennyworth provides comical emotional scene morgan freeman lucius fox although limited role inject sly humour much needed moral story finally gary oldmans lt james gordon riveting least need best supporting actor nomination performance another crimefighting hero face challenging situationswally pfisters cinematography simply stunning gotham never looked good big deep wide shot purvey dirty aura contribute feel film without may another oscar worthy portion music han zimmer james newton howard helm could go wrong score set mood every scene giving epic thrilling tone action sequence really ups adrenaline topic action dark knight succeeds best fight sequence car chase comic book adaptation yet obvious overuse cgi explosion accident real deal thrilling edge seat violent brutally awesome stuffnevertheless none would possible without christopher nolan man behind pairing writer brother jonathon nolan darkest batman movie yet best best far year feel like comic book film dialogue situation feel realistic script drive film dialogue well written centre conflict movieit may bold say best superhero film time others magnificent superman xmen two example complex dark spectacular epic see bale ledger music action nolans flawless direction best film far,positive
13,say made christopher nolan good amazing action amazing character amazing director amazing cinematography dark knight everything like everyone said heath ledger performance lifetime movie absolutely greatoverall rating,positive
14,batman take crime lord help lieutenant jim gordon district attorney harvey dent however even bigger evil rise terrorize gothammaggie gyllenhaal improvement katie holmes rachel dawes aaron eckhart add good performance harvey dent end heath ledger movie overpowers everybody early death may immortalized opinion isnt inflated presence electric help character ridiculously crazy motivation nothing power money mundane want chaos much fascinating heath ledger make movie great surpasses series reboot batman begin,negative
15,finally happened dc comic movie adaptation outmarveled marvel folk degree might quite anything come close topping dark knight severely grim gritty version batman ushered frank miller initial treatment landmark graphic novel dark knight return miller portrayal iconic super hero took glove far politically correct behavior go movie explores theme many level would served enough plot keep viewer interested even without explosion chase general mayhem modern day audience need get fix actually joker summed quite brilliantly hanging upside one batman cable street gotham noted summary line comic book world fighting forever long forever exists since creation batman back joker came scene comic batman dont think could picture without heath ledger role batman time greatest nemesis portrayal blow away jack nicholsons performance batman thats fault nicholsons today film product harsher deadlier time striking ledger characterization would define joker extremist perhaps even terrorist found questioning going opening bank robbery scene bad guy offing based instruction delivered joker suddenly come realization domino game end one man standing introduced ledger definitive joker performance wont toppedanother thought came watched story unfold similar coin toss gimmick paralleled one country old men harvey dent aaron eckhart began using tactic following death rachel dawes maggie gyllenhaal began picturing javier bardem role joker hard imagine might evil character bardems anton chigurh realistic setting joker fictional gotham city fortunately choice one would normally considerim little bit fence christian bale portrayal batman he adequate bruce wayne voice give dark knight seems bit melodramatic granted couldnt use voice alter ego time sounded forced come across parody time goofy almost throwback adam west day tv batman strange considered one ever call caped crusader anymore eitherall great performance around gary oldmans portrayal new commissioner gordon excellent michael caine alfred morgan freeman lucius fox solid even limited screen time thought katie holmes making mental comparison maggie gyllenhaal first appeared screen truthfully looked similar enough effect transition smoothly point wasnt distracting leastobviously set next sequel firmly set place creation two face alter ego district attorney harvey dent rendering dent burned face boldly executed quite marvelous grotesque way ill looking forward next installmentand personal rant probably put parenthesis doesnt anything movie picture imdb list time best movie day release incomprehensible downright laughable rate think moratorium least couple year film qualifies imdb ranking giving dust time settle grand opening hoopla surround picture like feel way recent movie like country old men blood garnered numerous award fan approval theyre considered among best film time theyll considered way decade without need multiple vote zealous fan boy,positive
16,phenomenal start finish film masterpiece quite possible best round film everaction amazing drama incredible realism believably brilliant fantasy work perfectlythis film see performance christian bale spot yet still shadowed amazing heath ledger joker undoubtedly bestthe fact christian performance superb still remember joker show practically perfect performance gave ability share screen without scene stealing enhancing others performance show great areadd outstanding direction cherry top must watch,positive
17,synopsis bruce waynebatman christian bale continues eliminate crime gotham city help lt jim gordon gary oldman new district attorney harvey dent aaron eckhart dark knight want finally get rid organized crime good free corruption batman soon find new psychopathic mastermind known joker heath ledger taken organized crime joker plan terrify citizen throw city chaos kill batman batman take fight joker personal make confront belief joker dangerous criminal batman encountered need strength vigilance defeat himmy comment film blew away christian bale natural bruce waynebatman michael caine fit part alfred trusted butler heath ledger performance sadistic joker absolutely disturbing scary yet simply amazing would want meet joker dark alley whatever dont ask got smile especially knife hand ledger performance turned joker new iconic movie villain image punch mayhem explosion good sinister dialog movie lot action also tell story internal struggle bruce wayne batman hero bruce wayne want maintain difference batman bruce must decide follow code done without affecting moral movie explores literary theme hero verse villain well order verse anarchy joker explains batman one must always connected movie long went fast love last minute nonstop action batman new sonic suit batpod explosion body count dark mood movie dont think parent take young child warner bros picture run time rated pg,negative
18,batman always favourite superhero ever since first time heard human power also much questionable superhero story film batman lieutenant james gordon new district attorney harvey dent beginning succeed rounding criminal plague gotham city unexpectedly challenged mysterious criminal mastermind known joker appears gotham batman struggle joker becomes deeply personal forcing confront everything belief improve technology introduces recreation batcycle known batpod batsuit redesigned stop madman campaign destruction course film love triangle develops bruce wayne dent rachel dawesthere six batman film must say dark knight best title good batman actually year adventure continue batman begin entire wait worth gotham city gothic looking haunting visionary whole movie charged pulsepounding suspense ingenious special effect riveting performance firstrate cast especially heath ledger gave oscar nomination performance best supportingactor shame cant see terrific work onscreen cinematography excellent made dark sinister really suit mood film usually sequel dont turn better original dark knight one rare sequel surpasses original like godfather also really liked poster building fire bat symbol batman standing front christopher nolan brilliant director film memento one favourite film hasnt made movie yet already imdb top overall dark knight kind movie make audience cheer end instead throwing fruit vegetable screen,positive
19,probably second best sequel time second return king ive seen movie twice cinema year thats good could name flaw movie movie best preformances time heath ledger preformance nothing short phenomenal arguably best preformance weve ever given superhero film however believe aaron eckhart play role twoface perfection severely overshadowed heath ledger definitely one movie watch numerous time christopher nolan brilliant director,positive
20,used leave theatre seeing highly anticipated movie specifically sequel revved saw would declare movie best series prequel star war film rated one best good originalsfor time opinion balanced wellrounded take reason steer away mindset dark knightthough opinion solidifying already seen warner bros screening last night dark knight ably stand without batman begin two half hour runtime definitely epic movie one never run gas delightful addition experience healthy amount imax footage significantly add feel personal gruesome tour gotham citychristian bale play well rounded batman bruce wayne quality none donned cowl pulled still remember bale british since speaks spot american accent bale particular slurring lisp serf quite well charmingly bruce wayne threateningly batmancountering late heath ledger play scary creepy joker found impossible chill half time saw screen really separate brand joker jack nicholsons portrayal true unpredictability obvious good guy think like joker really take toll sure isnt easy exactly one take he woven harebrained plot around multiple hostage explosive disappearing parlor tricksinitially uneasy character harvey dent would handled mind really one faithful portrayal could found batman animated series early well tommy lee jones could handled batman forever certainly though still highlight movie aaron eckhart ably assumes mantle delivering performance world easily par batman animated seriesbe known caped avenger stand good gotham city police force counterpart cant represent good jurisdiction proceduresand rule save one hope weve seen prelude dark knight upcoming legendary battle worst gotham city dark undersidethe dark knight get solid star,positive
21,thought batman begin well conceived put together movie finally get batman fully rendered character gain new insight motivation variable must contend role protector gotham get see gary oldman honesttogoodness good guy get see liam neeson conducting perhaps strangest facial hair experiment yet seeing dark knight batman begin forevermore viewed least handy little prologue frickin masterpiece superhero film say deepest mainstream comic adaptation ever produced would akin calling nolanledger joker bit eccentric watching found thinking long usually sign long therefore boring thats actually case script bulging idea philosophical musing theme christopher nolan content gloss favour cool setpieces many comic adaptation want explore want allow character explore logical pace guess im saying considering set movie long enough still constantly holding viewer interest thats say thematic exploration come expense big action either contrary truly awesome stuff going chase truck example fantastic there great handtohand stuff engages u character script brilliant dialogue sharp quite funny first twothirds drama really kick mainly come cast christian bale taller michael keaton menacing val kilmer le like adam west george clooney solid committed always give character life actually make u feel word tortured keep coming mindand suppose pretty appropriate heath ledger yknow id heard talk oscar nomination thought sounded bit dubious batman villain winning oscar come thought didnt get one brokeback dubious stillis hedied butwellhow put seems bit blasphemous compare jack nicholson cesar romero seeing heath workjack seemed awesome lookswelllame youve seen hopefully get mean haventyou need discover true definition commitment maggie gyllenhaal didnt problem katie first one time doubt could pulled emotional stuff rachel go seeing recasting necessary tom problem wife involved batman many bad memory perhaps even talking garbage could done buttload worse maggie rock aaron eckhart im giving anything away suffice say mind blownagain make tommy lee jones look likeyou get idea michael caine still one favourite actor alfred shiz morgan freeman morgan freeman aok gary oldman bb mania psychosis nervous tic absolute subtlety manages hold alongside christian heath aaron without resorting parlour trick sign spectacular talent go gaz eric robert william fichtner michael jai white tiny lister whole thing big bag thoughtful wellexecuted entertainment equal part cerebral visceral idea action ive liked every batman movie far okay besides batman robin one make look pretty bloody ordinary,positive
22,thought getting clever comic book movie instead got profound chilling introspection good v evil allegorical reference god v satan good v evil socialpolitical true life reality made cry credit rolled powerful brilliant fil experience wasi enthralled mesmerized director writer something supposed batman movie ive seen least time still get feeling big budget blockbuster filmmaking absolute best age top movie alltime,positive
23,best superhero movie ever made like watch superhero movie definitely watch thishowever must say movie much superhero movie dont like superhero movie want watch good dramaaction movie one best,positive
24,there villain full colour take stage double crossing trickster seek enrage mafioso kind broker one joker hand torment turmoil torture hell rage triumvirate gotham form cordon batman harvey dent lieutenant gordon theyre seduced performance limited law conformance playmaker relishing destruction long weakness found hostage taken compound ultimatum presented prominent profile demented hero run cover go underground,negative
25,well one anticipated movie year far excellent far best batman film ever made course one memorable action film long whileeveryone waiting see well heath ledger performed joker film definitely deserves oscar honor character dark creepy sent chill back compared heath film like thing hate even brokeback mountain prof man could actually act doesnt matter character could itthe film storyline many twist rewarding story developed constantly scene making wonder whats next excellent craft flow well towards conclusionduring film scene batman joker bike v truck people thought ending kept going awesome story kept getting darker darker guess thats called dark knight well relation batman himselfthe cast great christopher nolan playing batman good performance heath ledger played extremely well maggie annoying time still deserves praised michael caine morgan freeman minor role satisfied audience aaron eckhart start minor role slowly progress becomes evil quite surprising entertaining watchgreat directing made movie enjoyable added action time made film feel powerful lighting done well especially showing harvey two face face many mood displayedgreat explosion made entertaining made feel great finally best action come long timethis movie deserves rating credit behalf great young actor heath ledger life may rip performance made film right nowi recommend film action fan especially batman fan even heath ledger fan go ahead right see film great,positive
26,confidently directed dark brooding packed impressive action sequence complex story dark knight includes careerdefining turn heath ledger well oscar worthy performance tdk remains best batman movie comic book movie ever created,positive
27,got see dark knight wednesday night reason though im writing movie comment late didnt wanna jump say movie awesome wanted think still today cant stop thinking movie dark knight life hype go beyond batman movie go batman movie gone gave u real sold story finally told villain way injustice world get underneath batman skin believe people still faith good earth heath ledger absolutely loved jack nicolson performance film first read heath signed onto dark knight like kidding see dark knight heath incredible im going compare jack heath performance two different version joker heath joker definitely scary intense two nomination didnt know going next crazy also charismatic point could relate character worst part he crazy he driving gotham crazy treating everyone like little puppet string control guess well smile face much batman film much comic book film dark knight truly delivers drama action romance horror dark humor study psychopathic killer detective story force behind epic movie christopher nolan who previous film batman begin didnt really thrill incredible film making truly shown dark knight shot got gotham city absolutely fantastic made feel part city part batman story one thing absolutely loved dark knight normally comic book movie know real people dont dress costume save day villain dont name crazy name dress make crazy costume dark knight actually make seem incredibly real like could happenbruce wayne still learning double life batman lost rachel new district attorney harvey dent he inspiring others dressing batman trying take villain city thing much worse joker waltz town he going bring hell upon gotham city constantly playing gothams mind trying get batman reveal batman never dealt psychopathic genius joker named classy villain gotham need also brought new thought batman head actually alike different batman completes joker would nothing without batman relying harvey dent gothams white knight trying put gothams scum jail joker play batman commissioner gordon harvey rachel find horrific position harvey must discover die hero live long enough become villainall performance dead movie everyones going crazy heath ledger performance one performance would also love credit aaron eckhart play harvey denttwo face performance great heath made two face human villain could understand hatred vengeance happened became two face know everyone saying truly mean say one best movie seen long time great movie past year think dark knight seriously something special dont wanna build much since people go theater expecting word opinion though great movie cant come word describe incredibly powerful movie honest would go rating could batman film waiting ive seen twice one weekend im going see three time upcoming week dont mind one bit cant wait sequel would like say rip heath wish could seen breath taking performance joker,positive
28,dark yes complex ambitious christopher nolan cowriter jonathan nolan deserve standing ovation dont usually go loud movie filled mindless gore violence dark knight certainly loud violent mindless depth soul even joker extraordinary creation heath ledger deeply human natural petulance christian bale make ego alter ego fascinating complex film superheroes part genius movie batman screen time really lead attention captivated heath ledger determines inspires breathtaking atmosphere envelope gotham well u aplomb christopher nolan director mind blowing secret believe obvious respect audience he done elevate popular genre shakesperean proportion bravo,positive
29,pleasure watch movie imax theatre london advertises slogan biggest screen uk one greatest movie experience life first movie imax theatre recommend anyone chance watch even entire movie shot imax theatre still able blow someone away great visuals combined great story superb actingthe movie could also called joker even heath ledger great performance still batman movie dark knight clear enough even without batman title simply loved movie heard complaint friend seems might problem depiction character loved heath ledger would wanted see even crazier plot thread especially done character aaron eckhart although see might problem fan comic book still stand vote best batman movie ever hopefully nolan bale make next one,positive
30,movie work art finest sequel ever made dont think see another movie like long time heath ledger joker best movie charachter ever seen far avenger endgame great dark knight much better best batman ever best joker ever best dc movie ever best superhero movie ever ando best movie ever,positive
31,couldnt believe dark knight could live hype thats perhaps biggest surprise secret believe stunning mature intelligent script make best superhero movie ever made wasnt enough heath ledger newest tragic modern icon present u preview something well never see fearless extraordinary actor capable fill humanity even grotesque villain performance master class fortunately christian bale batman almost supporting character bale good something around mouth stop great dark knight visually stunning powerful moving else could anyone want,positive
32,think could wax lyrical movie day absolutely incredible start finishthis batman trilogy second outing filled hardhitting action almost every scene absolutely enthralling watch story really good twist turn keep viewer constantly toe especially third act movie many memorable scene packed throughout movie many quote idea sprinkled throughout probably could analyze hoursbecause action story incredible dynamic batman joker really make movie contrast two right wrong chaos anarchy versus order joker perfect villain batman batman literally said movie symbol essence idea batman centered around order rule moral code embodyment right joker challenge core foundation batman stand someone doesnt follow rule pure chaos anarchy personified perfectly state third act movie hanging upside building happens unstoppable force meet immovable object joker want batman go moral break rule powerful thing also see joker way point also add another layer character dynamic two truly amazing battle brilliant acting heath ledger major part absolutely incredible joker rest peacei could probably go great think movie ill say watch movie watch first movie trilogy first something absolutely dont want still think see movie great,positive
33,want best movie great story great acting thrilling twist watched joker come back give dark knight thanks heath ledger exceptional performs,positive
34,christopher nolans second bundle joy dark knight exceeded expectation success reboot batman franchise took already established expanded amped gave deeper darker brooding story gripping suspense likely catch guard several time throughout christian bale delf deeper batman sworn fight evil injustice though also quite reluctant uncertain crusade ever end cleanse inner turmoil fractured soul due murder beloved parent help trusted butlerally alfred played superbly michael cane ground give moral support keep check real star show heath ledger batman deadly enemy joker honestly tell good jack nicholson batman child play compared joker sadistic psychotic downright scarier psychologically disturbing previous incarnation clown prince crime ledger give justice along original cast come fresh face aaron eckhart maggie gyllenhaal must say though liked katie holmes gyllenhaal give much better performance far cry damselindistress stereotype though there little thankfully thats common film bale gyllenhall much better chemistry time around holmes even better fight sequence vastly improved feature brutal bone crushing combat begin addition new technology batman disposal also worth mentioning screenwriter jonathan nolan give film added frosting already delicious cake simply put dark knight totally bad a begin action great plot deeper engrossing applaud christopher nolan christian bale especially heath ledger sadly passed away earlier year aboard believing mr nolans talent second installment although may feel bit melancholy ledger death final note say sincerely heart remember heath ledger honor mind heart performance human father daughter matilda ledger may issue best wish family friend daughter year come remember honor role past role incredible individual talented actor rest peace heath ledger,positive
35,although dont think fourth best movie ever made rated according imdb think stand head shoulder superhero peer mainly superhero movie batman mere mortal lot time train physically money design nifty gadget useseverybody earth seen film use regurgitating plot think heath ledger rendition joker masterpiece every time leaf screen keep waiting come back ledger best actor oscar rather supporting actor really two leading man film bale batman ledger joker always liked jack nicholsons rendition joker film directed tim burton ledger blow nicholsons performance away maybe nicholsons joker past explanation behavior maybe nicholsons joker seems wild side real jack nicholson heath ledger never step character entire film ledger joker like devil decides become incarnate unlike ray millands devil alias nick beal show true self somebody want break spirit people turn one another wantonly destroy property people whatever thats reinforced police find name past print dna even label clothes arrest past great big question mark like michael caines alfred good someone relevant past combat guerrilla experience wise father figure wayne role rather kindly museum piece likewise morgan freeman pitch perfect lucius wayne version q somebody invents gadget run business since really wayne mind freeman give performance perfect balance humor business acumen conscience finally like fact rachel bruce wayne love interest played someone unrealistic shes cute girl attribute lie mind heart wellthe negative think harvey transformation two face little pat dont know batman totally different voice bruce wayne purpose think found one editing error gordon end talk hard cover harvey two face murder including two cop harvey let crooked cop ramirez live knocked lived gordon batman plan cover harvey crime would never worked would known happened scene wrongly includedscripted id recommend one better film made since turn century also blockbuster,positive
36,someone else acted joker would give movie star majority people ended loving villain hero rarely happends moviesrest peace heath ledger,neutral
37,think big questionor question everyone actually care christopher nolans follow critically acclaimed film batman begin dark knight good everyone saying quite simply yes yes doubt one anticipated movie st century duly deserves every amount praise lavished onto ordinary superhero movie character dialogue driven piece action orientated might expecti go plot detail lot however basic one sentence summary batman face cunning psychotic enemy someone real motivesthe joker way start actor boy lot talk christian bale done tremendous job beloved caped crusader already blowing everyone else water batman begin bruce wayne flawed personality hang balance righteousness criminal perception justice cause emotional personal shift whether wealthy businessman fight crime gadgetriddled suit normal man sick scum gotham city decides give lawbreaker dose medicine bale tremendous acting bruce wayne justified emphasise bale flawed hero actor ever excellent batman theme right wrong played well character hereof course sure want know heath ledger good safely say definitely ledger joker best greatest superhero film villain ever performance truly terrifying chilling brilliant synonym previous adjective every scene stolen joker truly batman worst villain cunning psychotic nothing quite match laugh sinister makeup ledger nabs oscar best actor honestly surprised true tragedy see talented actor fall young ageall actor cannot forgotten though aaron eckhart definitely proved previously thankyou smoking someone watch harvey dent later two face powerful want justice bring every single criminal eckhart definitive two face maggie gyllenhaal wayne dent love interest rachel dawes much better katie holmes gyllenhaals performance substance really cared future terrific every scene michael caine wrong alfred pennyworth provides comical emotional scene morgan freeman lucius fox although limited role inject sly humour much needed moral story finally gary oldmans lt james gordon riveting least need best supporting actor nomination performance another crimefighting hero face challenging situationswally pfisters cinematography simply stunning gotham never looked good big deep wide shot purvey dirty aura contribute feel film without may another oscar worthy portion music han zimmer james newton howard helm could go wrong score set mood every scene giving epic thrilling tone action sequence really ups adrenaline topic action dark knight succeeds best fight sequence car chase comic book adaptation yet obvious overuse cgi explosion accident real deal thrilling edge seat violent brutally awesome stuffnevertheless none would possible without christopher nolan man behind pairing writer brother jonathon nolan darkest batman movie yet best best far year feel like comic book film dialogue situation feel realistic script drive film dialogue well written centre conflict movieit may bold say best superhero film time others magnificent superman xmen two example complex dark spectacular epic see bale ledger music action nolans flawless direction best film far,positive
38,say made christopher nolan good amazing action amazing character amazing director amazing cinematography dark knight everything like everyone said heath ledger performance lifetime movie absolutely greatoverall rating,positive
39,batman take crime lord help lieutenant jim gordon district attorney harvey dent however even bigger evil rise terrorize gothammaggie gyllenhaal improvement katie holmes rachel dawes aaron eckhart add good performance harvey dent end heath ledger movie overpowers everybody early death may immortalized opinion isnt inflated presence electric help character ridiculously crazy motivation nothing power money mundane want chaos much fascinating heath ledger make movie great surpasses series reboot batman begin,negative
40,finally happened dc comic movie adaptation outmarveled marvel folk degree might quite anything come close topping dark knight severely grim gritty version batman ushered frank miller initial treatment landmark graphic novel dark knight return miller portrayal iconic super hero took glove far politically correct behavior go movie explores theme many level would served enough plot keep viewer interested even without explosion chase general mayhem modern day audience need get fix actually joker summed quite brilliantly hanging upside one batman cable street gotham noted summary line comic book world fighting forever long forever exists since creation batman back joker came scene comic batman dont think could picture without heath ledger role batman time greatest nemesis portrayal blow away jack nicholsons performance batman thats fault nicholsons today film product harsher deadlier time striking ledger characterization would define joker extremist perhaps even terrorist found questioning going opening bank robbery scene bad guy offing based instruction delivered joker suddenly come realization domino game end one man standing introduced ledger definitive joker performance wont toppedanother thought came watched story unfold similar coin toss gimmick paralleled one country old men harvey dent aaron eckhart began using tactic following death rachel dawes maggie gyllenhaal began picturing javier bardem role joker hard imagine might evil character bardems anton chigurh realistic setting joker fictional gotham city fortunately choice one would normally considerim little bit fence christian bale portrayal batman he adequate bruce wayne voice give dark knight seems bit melodramatic granted couldnt use voice alter ego time sounded forced come across parody time goofy almost throwback adam west day tv batman strange considered one ever call caped crusader anymore eitherall great performance around gary oldmans portrayal new commissioner gordon excellent michael caine alfred morgan freeman lucius fox solid even limited screen time thought katie holmes making mental comparison maggie gyllenhaal first appeared screen truthfully looked similar enough effect transition smoothly point wasnt distracting leastobviously set next sequel firmly set place creation two face alter ego district attorney harvey dent rendering dent burned face boldly executed quite marvelous grotesque way ill looking forward next installmentand personal rant probably put parenthesis doesnt anything movie picture imdb list time best movie day release incomprehensible downright laughable rate think moratorium least couple year film qualifies imdb ranking giving dust time settle grand opening hoopla surround picture like feel way recent movie like country old men blood garnered numerous award fan approval theyre considered among best film time theyll considered way decade without need multiple vote zealous fan boy,positive
